exportCountry,importCountry,Product,Trade
Canada,Argentina,Miscellaneous,6821.86
Mexico,Argentina,Miscellaneous,18248.38
United States,Argentina,Miscellaneous,543964.07
Brazil,Argentina,Miscellaneous,217148.99
Chile,Argentina,Miscellaneous,10696.51
Colombia,Argentina,Miscellaneous,2707.88
Ecuador,Argentina,Miscellaneous,294.62
Canada,Argentina,"Textiles, Leather, and Apparel",1783.43
Mexico,Argentina,"Textiles, Leather, and Apparel",6646.47
United States,Argentina,"Textiles, Leather, and Apparel",52647.33
Brazil,Argentina,"Textiles, Leather, and Apparel",461826.17
Chile,Argentina,"Textiles, Leather, and Apparel",21186.4
Colombia,Argentina,"Textiles, Leather, and Apparel",3457.68
Ecuador,Argentina,"Textiles, Leather, and Apparel",1111.39
Canada,Argentina,Transportation Equipment and Parts,32179.54
Mexico,Argentina,Transportation Equipment and Parts,958527.68
United States,Argentina,Transportation Equipment and Parts,893048.65
Brazil,Argentina,Transportation Equipment and Parts,6970136.43
Chile,Argentina,Transportation Equipment and Parts,40009.3
Colombia,Argentina,Transportation Equipment and Parts,82435.98
Ecuador,Argentina,Transportation Equipment and Parts,0
Canada,Argentina,Vegetable Products,9187.96
Mexico,Argentina,Vegetable Products,25266.33
United States,Argentina,Vegetable Products,105377.04
Brazil,Argentina,Vegetable Products,366797.99
Chile,Argentina,Vegetable Products,100349.04
Colombia,Argentina,Vegetable Products,5126.06
Ecuador,Argentina,Vegetable Products,137689.05
Canada,Argentina,"Wood, Paper and Related Products",3879.14
Mexico,Argentina,"Wood, Paper and Related Products",9419.12
United States,Argentina,"Wood, Paper and Related Products",112630.74
Brazil,Argentina,"Wood, Paper and Related Products",437847.73
Chile,Argentina,"Wood, Paper and Related Products",156379.25
Colombia,Argentina,"Wood, Paper and Related Products",17111.64
Ecuador,Argentina,"Wood, Paper and Related Products",455.18
Canada,Chile,Animal Products,15089.58
Mexico,Chile,Animal Products,13461.84
United States,Chile,Animal Products,290217.71
Argentina,Chile,Animal Products,559056.05
Brazil,Chile,Animal Products,514593.62
Colombia,Chile,Animal Products,12310.4
Ecuador,Chile,Animal Products,74343.35
Canada,Chile,Beverages and Oils,42622.03
Mexico,Chile,Beverages and Oils,65145.45
United States,Chile,Beverages and Oils,80898.39
Argentina,Chile,Beverages and Oils,212097.62
Brazil,Chile,Beverages and Oils,3661.43
Colombia,Chile,Beverages and Oils,18116.86
Ecuador,Chile,Beverages and Oils,30268.32
Canada,Chile,Chemicals and Related Products,137294.23
Mexico,Chile,Chemicals and Related Products,495385.26
United States,Chile,Chemicals and Related Products,2233513.04
Argentina,Chile,Chemicals and Related Products,699580.13
Brazil,Chile,Chemicals and Related Products,688346.79
Colombia,Chile,Chemicals and Related Products,169904.74
Ecuador,Chile,Chemicals and Related Products,15869.16
Canada,Chile,"Computers, Office, Communications, and Professional Equipment",33103.33
Mexico,Chile,"Computers, Office, Communications, and Professional Equipment",582396.74
United States,Chile,"Computers, Office, Communications, and Professional Equipment",1780378.3
Argentina,Chile,"Computers, Office, Communications, and Professional Equipment",12405.02
Brazil,Chile,"Computers, Office, Communications, and Professional Equipment",126528.79
Colombia,Chile,"Computers, Office, Communications, and Professional Equipment",3490.09
Ecuador,Chile,"Computers, Office, Communications, and Professional Equipment",93.27
Canada,Chile,Energy and Mining,129128.63
Mexico,Chile,Energy and Mining,28779.82
United States,Chile,Energy and Mining,6018097.65
Argentina,Chile,Energy and Mining,1431196.09
Brazil,Chile,Energy and Mining,1141104.08
Colombia,Chile,Energy and Mining,1888426.78
Ecuador,Chile,Energy and Mining,1724682.02
Canada,Chile,Glass and Non-Metallic Products,2658.42
Mexico,Chile,Glass and Non-Metallic Products,60042.95
United States,Chile,Glass and Non-Metallic Products,45885.91
Argentina,Chile,Glass and Non-Metallic Products,98066.08
Brazil,Chile,Glass and Non-Metallic Products,54797.32
Colombia,Chile,Glass and Non-Metallic Products,18769.38
Ecuador,Chile,Glass and Non-Metallic Products,2179.57
Canada,Chile,Machinery and Electrical Equipment,204039.9
Mexico,Chile,Machinery and Electrical Equipment,225868.28
United States,Chile,Machinery and Electrical Equipment,2328290.54
Argentina,Chile,Machinery and Electrical Equipment,161473.41
Brazil,Chile,Machinery and Electrical Equipment,518397.98
Colombia,Chile,Machinery and Electrical Equipment,36793.92
Ecuador,Chile,Machinery and Electrical Equipment,6167.72
Canada,Chile,Metals and Metal Products,55722.51
Mexico,Chile,Metals and Metal Products,144559.9
United States,Chile,Metals and Metal Products,316191.42
Argentina,Chile,Metals and Metal Products,146450.18
Brazil,Chile,Metals and Metal Products,303002.87
Colombia,Chile,Metals and Metal Products,13007.35
Ecuador,Chile,Metals and Metal Products,13082.28
Canada,Chile,Miscellaneous,15752.56
Mexico,Chile,Miscellaneous,28619.14
United States,Chile,Miscellaneous,1040189.77
Argentina,Chile,Miscellaneous,27747.83
Brazil,Chile,Miscellaneous,60379.2
Colombia,Chile,Miscellaneous,13342.73
Ecuador,Chile,Miscellaneous,3260.22
Canada,Chile,"Textiles, Leather, and Apparel",9653.46
Mexico,Chile,"Textiles, Leather, and Apparel",26818.27
United States,Chile,"Textiles, Leather, and Apparel",214729.52
Argentina,Chile,"Textiles, Leather, and Apparel",66500.17
Brazil,Chile,"Textiles, Leather, and Apparel",100314.09
Colombia,Chile,"Textiles, Leather, and Apparel",39635.83
Ecuador,Chile,"Textiles, Leather, and Apparel",4701.25
Canada,Chile,Transportation Equipment and Parts,41733.51
Mexico,Chile,Transportation Equipment and Parts,616135.84
United States,Chile,Transportation Equipment and Parts,2408607.83
Argentina,Chile,Transportation Equipment and Parts,315889.02
Brazil,Chile,Transportation Equipment and Parts,854930.81
Colombia,Chile,Transportation Equipment and Parts,16542.11
Ecuador,Chile,Transportation Equipment and Parts,3871.27
Canada,Chile,Vegetable Products,61029.77
Mexico,Chile,Vegetable Products,48607.34
United States,Chile,Vegetable Products,526609.45
Argentina,Chile,Vegetable Products,1064866.79
